Country,Date,Regional_GDP
Barcelona,2012,"194,512.80"
Barcelona,2013,"193,329"
Barcelona,2014,"196,999.50"
Barcelona,2015,"206,434.30"
Barcelona,2016,"214,502.50"
Barcelona,2017,"223,139.80"
Barcelona,2018,"231,101.30"
Barcelona,2019,"240,165.80"
Barcelona,2020,"214,857.40"
Barcelona,2021,"234,820.20"
Barcelona,2022,"258,685.70"
Barcelona,2023,"281,845.10"
