Dates,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Berlin,"109,771.99","112,881.34","118,518.73","124,913.91","133,210.31","141,322.11","149,390.92","160,738.63","159,164.92","169,848.53","183,292.10","197,516.68"
Comunidad de Madrid,"196,359.70","193,344.50","196,018.10","206,231.50","214,469.10","224,373.20","233,735.80","243,889.40","221,061.90","239,837","267,578.50","293,069.30"
Cataluña,"194,512.80","193,329","196,999.50","206,434.30","214,502.50","223,139.80","231,101.30","240,165.80","214,857.40","234,820.20","258,685.70","281,845.10"
Ile de France,"630,550.60","645,740.10","655,283.80","671,654.80","685,297.80","703,752.10","727,166","758,004","701,232.40","744,093.60","784,652","860,067.30"
Veneto,"145,472.24","145,522.41","147,834.50","150,835.81","155,761.76","159,951.70","163,005.64","166,071.92","152,345.49","170,043.36","184,072.38","197,137.46"
