Country,Date,Regional_GDP
Paris,2012,"630,550.60"
Paris,2013,"645,740.10"
Paris,2014,"655,283.80"
Paris,2015,"671,654.80"
Paris,2016,"685,297.80"
Paris,2017,"703,752.10"
Paris,2018,"727,166"
Paris,2019,"758,004"
Paris,2020,"701,232.40"
Paris,2021,"744,093.60"
Paris,2022,"784,652"
Paris,2023,"860,067.30"
