Country,Date,Regional_GDP
Madrid,2012,"196,359.70"
Madrid,2013,"193,344.50"
Madrid,2014,"196,018.10"
Madrid,2015,"206,231.50"
Madrid,2016,"214,469.10"
Madrid,2017,"224,373.20"
Madrid,2018,"233,735.80"
Madrid,2019,"243,889.40"
Madrid,2020,"221,061.90"
Madrid,2021,"239,837"
Madrid,2022,"267,578.50"
Madrid,2023,"293,069.30"
