Country,Date,Regional_GDP
Berlin,2012,"109,771.99"
Berlin,2013,"112,881.34"
Berlin,2014,"118,518.73"
Berlin,2015,"124,913.91"
Berlin,2016,"133,210.31"
Berlin,2017,"141,322.11"
Berlin,2018,"149,390.92"
Berlin,2019,"160,738.63"
Berlin,2020,"159,164.92"
Berlin,2021,"169,848.53"
Berlin,2022,"183,292.10"
Berlin,2023,"197,516.68"
